0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155.78	158.67	216.56	131.33	104	72.222	82.778	74.556	99.556	86.556	108.89	93.111	55.667	63.556	102.56	146.78	155.78
132.56	160.11	218.89	122.44	108.89	84.333	77.444	72.222	83.889	82.333	109.67	99.667	49.444	50.444	86.889	124.33	132.56
142.89	183.67	233	128.56	116.78	88.333	76.444	72.556	85.556	74.889	96.667	105	48.222	49.778	92.111	131.22	142.89
152.67	198.44	230.78	128	111.89	88.889	71.444	79.778	83.889	66.778	95.111	105.33	57.222	55.556	107	135.33	152.67
155.11	204.44	218.22	138.33	116.22	88.444	68.667	82.111	76.222	72.556	90	102.11	66	56.778	97.333	115.89	155.11
157.89	201.33	190.11	140.44	105.67	82.778	70.778	77.778	76	91.667	90.333	90	63	57.889	95.778	103.67	157.89
196.67	227.89	202.56	182.22	122.33	82.333	75	73.111	81.222	103.78	88.889	72.556	51	49.333	101.89	116.67	196.67
206.44	214.89	210	200	122.67	94.667	82.778	56.889	72.889	120.22	108.11	87.667	44.333	43.222	74.667	109.44	206.44
225.22	211.33	225.44	217.89	126.56	101.89	77.556	55	78.778	115.22	109.89	150.22	44.667	45.222	81.556	148.22	225.22
230.22	207.33	227	238.89	164.56	127.22	87.222	51.222	78	113.67	107.89	188	44.222	52.111	72.444	163.33	230.22
222.67	207.11	224.11	229.78	187.44	147	88.444	56.333	77.333	104.11	90	191.78	54.556	59.556	74.889	181.22	222.67
214.56	205.22	217.44	225.67	185.33	136.44	80.889	62.556	79.667	88.667	69.778	160	56.667	56.889	100.56	207.78	214.56
201.22	194.56	200.78	219.89	193.56	137.11	75.889	64.778	81	86.556	77.889	108.11	56.667	53.667	134.89	221.44	201.22
196.56	201.78	198.67	214.33	212	145	83.556	68.667	97.778	82.778	81.889	86.778	53.889	65.889	126	220.56	196.56
193.78	202	189.56	217.56	212	128.11	82.778	64.889	109.78	92.222	127.56	95.667	55.333	55.222	153.56	217.89	193.78
192.67	204.44	197.11	222.78	202.11	108.67	75.333	62.667	113.56	107.33	159.11	112.33	63.444	51.444	171.33	211.78	192.67
185.89	198.22	193.67	220.56	186.33	94.222	63.444	61	122.22	103.33	145.67	126.78	78.778	65.111	199.44	205.56	185.89
189	200.67	202.22	225.33	168.11	90.667	57.333	69.333	128.78	89.556	102.67	105.22	82.556	79.778	203.11	197.11	189
203.22	210.56	212.67	207.78	134.67	86	59.333	88	112.67	93.667	72.333	72.333	77.333	90	199	195.78	203.22
210.56	203.22	219.89	210.78	132.89	97	63.333	90.778	113.11	103	62.222	67.889	73.556	74.444	180.11	189.89	210.56
209.44	195.78	226.67	211	136.78	89.222	73.667	81.333	116.22	134.67	71.333	50.889	57.556	77.556	168.22	198.33	209.44
204.44	197.11	227.11	213.33	155.56	88.222	81.333	77.333	120	144.67	88.556	48.333	52	67.889	158.22	201.11	204.44
194.67	205.11	223.78	213.44	178	87	83.222	79.111	118.44	154	112.78	52.111	67	51.444	146.78	203.78	194.67
191.89	210.44	223.78	207	167.44	86	86	93.778	104.56	134.67	117.22	58.222	70.778	54.444	157.33	206.89	191.89
191.11	211.78	217.78	216.67	159.11	89.333	80.333	110.78	115.11	116	97.111	59.778	71	62.111	176.11	205.44	191.11
197.11	213.11	217.89	220.22	142.44	85	72.222	108.89	146.11	107.89	72	63.889	66.889	65.556	179.33	193.44	197.11
197.89	208.78	220.33	223.22	129	76.444	70.778	94.778	173.33	117	53.667	71.667	64.222	79.222	187.44	188.33	197.89
198	204.33	226.22	225.78	116.22	74	75.111	83.667	161.11	136.44	49.667	85.333	67.222	93.111	189.11	188.44	198
192.67	200.78	226.33	219.33	98.778	76.889	83.333	104.33	120	140.11	53.778	86.889	60.889	121.33	193.11	190.44	192.67
186.78	201.56	227.44	219.56	95.222	77.222	90.444	135.11	104.89	142.89	63.111	87.333	55.889	116.78	184.56	191.56	186.78
186.78	204.56	221	217.89	105.56	72.778	90.778	153.44	100.11	137	77	83.556	51.778	89.333	169.78	196.11	186.78
181.89	202.11	225.11	198.22	92.778	69	86	161.67	118	116.11	74.111	64.778	50.444	115	179.89	195.33	181.89
184.78	209.78	234	165.33	80.111	66.111	73.556	154.11	133.33	64.444	82.111	68	57	129.78	182.56	190.78	184.78
191.44	220.44	237	126.22	75	72.222	81.333	142.11	108.44	45.222	117.22	76.556	68.333	141.33	184.44	191.78	191.44
201.33	229.89	224.78	94.222	78	77	93.667	122.89	90.889	49.667	134.11	75.778	82.333	146.33	186.11	188.56	201.33
201.33	229.78	211.11	87.222	80	80.333	114.56	115.78	87.222	67	130.22	70.333	94.778	162.56	189.22	189.11	201.33
206.33	230.22	191.11	88.778	75.778	77.444	118.67	104.89	79.889	79.333	113	63.889	88.111	155.67	188.89	190.56	206.33
212.89	226.56	170.22	81.889	72.222	69.222	114.44	86.222	73.333	87	90.444	60.556	82.889	153.44	189.33	192.22	212.89
217.33	222.44	166.56	83.556	70	63.667	93.556	79	70.556	90.778	84.111	60.889	68.222	134.67	186	193.11	217.33
216.56	213.67	172.67	84.333	71.778	64.111	80.556	80.778	74.111	97.444	75.333	61.778	64.111	132.22	185.67	198.22	216.56
217.11	206.89	163.33	72.778	73.111	68.667	83.667	82.778	73.889	119	70.111	58.222	77.556	149.56	189	195.33	217.11
209.22	199.78	199.89	88.222	76.111	72.778	72.111	105	79.556	122.22	61.889	60.111	71.667	160.11	188.78	200.22	209.22
212.44	190.56	176.33	73.556	76.222	84.111	67	97.333	81.111	136.56	58.444	54.556	87.556	170.89	189.44	199.89	212.44
211.11	187.11	155.56	71.778	74.667	102	63.889	88.222	99.333	112.22	54.778	54.444	112.67	187.67	190.67	198.44	211.11
208.11	181.33	150.56	71.222	73.444	111.56	68.778	82.667	113.44	89.333	57.333	56.556	126.11	194.11	186.78	199.67	208.11
203.89	176.78	140.56	68.778	66.111	104.22	71.889	80.889	130.89	69.111	58.444	60.333	142.11	200	187.78	197.22	203.89
194.33	188.22	156.67	70.889	61	89.667	80	84	127.78	64.778	68.556	62.556	146.78	202.11	183.78	194.89	194.33
190.44	192.44	151.22	71.889	55.889	75.667	101.33	81	121.89	68	64.111	62.444	160.44	201.33	180.56	189.11	190.44
190.22	179.56	113.33	77.333	55	61	136.33	92.444	131.11	70.444	57.778	78.667	195.22	200.44	169.44	186.89	190.22
189.67	179.67	99	81.778	70.222	62.222	134.78	104.22	113.78	69.556	61.222	101.89	207	196.22	163.44	183.11	189.67
186.78	174.78	96	73.111	102.22	67	80.222	115.44	87.444	78.667	52.778	85.111	195.22	206.44	180.11	187.33	186.78
191.78	161.11	85.111	57.778	101.56	75.667	58.111	123.67	72.222	100.56	56.667	93.778	196.44	210.33	184.78	185.11	191.78
196	156	85.778	52.444	79.444	86.667	61.889	116.11	87.667	103.89	58.111	105.11	208	211.33	184.56	182.22	196
