0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
128.33	131.89	127.67	133	133.89	136.78	135.44	139.33	137.67	143	138.22	137.44	134	132.44	131.22	125.44	106.89	135.44	126.78	127.22	128.33
130	130.56	129.78	132.67	133.78	134.78	134.78	139.67	140.11	143	138.67	137.78	134.78	133.78	131.44	130.56	100	124.89	126.67	128.11	130
129.33	129.78	128.67	133	134	136.78	136.44	140.89	139.89	143.67	137.11	137.44	134.44	133	132.44	143.56	106.78	126.11	127.11	127.11	129.33
127.56	132.56	128.56	132.67	133.78	135.22	134.67	140.11	140	143.44	137.44	138.89	136	133.78	131.56	141.56	133.11	126.78	126.89	125.67	127.56
129	129.33	128.89	132.22	134.33	136.44	135.33	139.11	139.56	143	138.67	136.89	135.78	133.78	130.78	117	142.56	126.78	126.11	127.78	129
129	131.11	128.89	132.78	133	136.22	136	139.78	138.33	143.67	137.56	137	134.56	133.78	133.33	99.889	127.78	126.44	125.89	126.44	129
129.44	131	129.33	133.11	133.44	136.67	135.11	141.22	139.11	144.33	138.11	138	134.78	134	151.22	113.89	126.78	126.22	125.33	126	129.44
129.33	130	128.11	132.22	134	135.67	135.44	140.56	138.78	143	137.44	137.33	136	133	123	143.89	127.22	126.67	125.56	127.22	129.33
129.78	130.11	128.44	133	133.56	135.33	136	139	139	144.33	138.67	137.44	135.33	134.33	103.33	128.22	126.89	126.78	125.89	126.67	129.78
128.56	130.44	128.11	134	133.78	136.44	134.33	140	139.44	145.44	138.22	137.89	135	141.33	104.67	125.22	128.22	126.44	125	126.78	128.56
129	129.44	128.78	132.67	133.56	135.33	134.67	139.89	138.56	143.33	137.56	136.89	136.33	151.33	122.22	127.78	126.89	126.44	126	126.44	129
126.89	130.78	128.33	133.22	133.56	136.78	134.44	141	138.67	143.56	138.22	136.11	135.44	134.33	147	126.78	126.89	125.78	125.33	125.67	126.89
127.56	132.33	130.89	134.11	133	136.22	135.44	141.67	137.78	143	137	137.56	132.78	110.11	138.89	128.67	126.89	126.44	126	127.33	127.56
127.11	131.33	127.67	134.67	133	134.89	133.78	140	140.22	144.67	138.11	136.56	143.56	103	128.44	127	127.78	126.78	125.11	126.11	127.11
129	131.44	129.22	134.44	133	136.22	134.56	140.33	138.33	143.78	137	135.89	155.33	121.56	130.11	126.89	127.67	126.89	125.22	127.11	129
129.44	130.78	129.44	132.44	133.44	136.22	133.67	140.44	139.44	143.67	136	136.22	140.67	149.33	132.56	126.89	128.44	126.67	124.44	126.11	129.44
127.56	131.33	129.11	133.78	132.11	136	135	140.33	139.56	143.89	136	134.67	110.67	140.56	131.67	128.33	128.78	125.78	125.78	126.56	127.56
129.56	131.22	129.44	133.78	133	135.78	135.89	139.56	139.22	144.11	137.44	152.89	109.22	130.67	132.22	128	128	126.78	125.89	126.67	129.56
128.56	129.78	128.78	133.22	134	136.56	134.11	139.56	138.67	143.67	137.22	153.56	140.33	133.78	131.11	128.56	127.78	125.78	126.33	124.89	128.56
129	131	129	134.44	133.78	135.67	135.78	140.11	139.11	143.11	135.56	125.67	151.89	133	131.56	128.78	128	126.11	126.67	125.22	129
129.78	130.33	129.89	133.67	133	136	135.44	139.33	139.44	142.44	133.44	115.33	138.22	132.89	131.56	126.56	129	125.89	127	126.11	129.78
128.33	131.56	129.44	133.67	134	136.44	134.33	140.67	138.78	143.56	144	115.11	134.33	133	132.22	128.22	127.78	126.11	126.67	126.22	128.33
129.89	130.44	128.22	133.78	134.67	135.44	134.78	141.11	138.67	144.56	154.78	140.56	135.56	133	132	129.33	128	126.11	125.78	125.89	129.89
127.44	129.22	128.22	133.11	133	135.56	133.44	140.44	139.11	142.22	128.22	147.89	134.56	133.78	132.33	126.89	127.78	126.67	125.67	125.56	127.44
128.67	129.22	128.89	133.33	133.56	137.33	134.11	140.44	139.11	144.11	118.11	134.11	134.67	132.78	131.67	128.33	126.78	127	125.44	126.78	128.67
129.67	132.22	129.22	134	132.56	136.33	134.56	139	139.33	162.33	123.33	136.44	134.11	132.11	131	129.11	128.78	127	125.67	125.11	129.67
127.33	129.56	128.22	132.78	133	136.67	136.11	139.44	137.11	139.67	152.78	136.44	135.56	133.89	131.22	128.22	128	126.67	125.22	126.22	127.33
129	131	129.67	132.11	133	137.22	134.33	139	141.11	130.11	136	134.89	132.78	132.33	131.56	128.22	128	125.89	124.89	127.11	129
129.67	130.89	129.33	132.67	133	136.56	134.89	140.78	160.56	127.67	136.33	135.67	135.89	133.78	131.56	127.44	128.78	126.67	127	126.56	129.67
128.33	130.78	129.11	132.67	133.44	135.33	135.33	138.67	137.89	155.56	138.33	135.78	134.22	133	130.33	127	129.33	124.78	125.33	126.22	128.33
130.11	130.78	129.78	133.78	133.44	135.56	134.67	135.56	124.67	145.33	138	136.11	135.11	133	131.44	128.44	127.78	127	125.89	126.67	130.11
129.67	133.33	128.44	134.67	134	137	134.44	152.78	120.22	141.22	136.56	137.11	136	133.11	132.11	126.44	128.56	126.67	126.33	126.56	129.67
130.11	130.33	129.33	133.11	134	136.56	135.22	151.33	146.44	142.11	137.44	136.33	135.11	132.78	130.56	128.11	128.78	127.33	124.78	127.11	130.11
129.11	130	129.78	131.67	135.11	135.67	133.67	129.78	151.11	142.44	137	137.11	135.33	133.89	131.56	127.33	129.22	126.67	125.56	124.78	129.11
128.78	130.22	130.22	133.22	134.78	136.33	133.67	120.22	136.89	143.78	138.78	137.33	133.67	133.89	132.44	128.67	129	126.67	126.67	126.22	128.78
129	130.89	129.11	132.22	133.67	136.56	146.78	125	138.33	142.78	138.67	136.78	133.33	133.78	131.78	127.22	127.78	126.56	127	126.22	129
128	131.33	130.44	132.78	134	137.78	154.33	152.11	139.78	143.33	138.33	137.22	135	133.78	131.56	128.56	128.89	125.56	126.44	125.33	128
128.22	130.89	128.67	132.67	132.78	135.11	133.67	150.44	139.22	142.56	138.11	136.78	135	133.78	131.78	125.78	129.22	126.67	126.33	125.89	128.22
129.11	131.78	129.22	131.67	134.33	133.67	120.11	139.56	140.22	143.33	138.78	137.89	135.89	133.78	132.67	127.44	129	125.89	126.78	126	129.11
128	131.56	129.11	133.22	134.33	143	117.56	137.67	139.44	142.11	137.11	136.78	136	133.67	131.56	128.22	128.22	125.44	125.78	126.11	128
127.22	129.33	129.11	133	134.22	149.44	136.44	140.22	140.11	141.89	137.67	135.78	136.67	133.78	132.78	127.22	128	125.56	126	124.89	127.22
127.56	130.33	130	132	133	151.11	149.56	140	139.78	141.67	137.78	136.89	135.67	134.11	131.44	127.78	129	126.67	125.56	125.89	127.56
128.22	130.67	128.67	132	131.78	134.11	144.11	140.11	139.11	142.67	137.11	135.44	136.11	134.22	132	127.67	128	126	126.78	127.44	128.22
128	130.11	128.33	132.33	131.22	117.56	137.11	140.44	138.44	143.11	137.11	135.44	135.78	134.11	131.33	128.22	128.78	126.67	126.33	126.89	128
128	128.89	129.89	132.89	136.33	109.22	133.22	140.78	138.67	142.33	136.89	136.22	136.44	133.78	131.67	127.78	128.56	125.22	125	125.33	128
128.11	130.22	129.67	132.89	144.11	122.11	133.44	140.22	137.67	142.44	139.11	136.78	135	133.22	130.78	128.33	128	126.67	126.33	125.67	128.11
129.44	131	128.67	133.89	148.11	145	136.33	141.22	139.11	143.33	137.89	136.67	135.22	133.78	132.33	128.44	128.33	125.56	124.22	126.33	129.44
127.44	131.44	129.67	130.56	137.78	147.67	134.44	140.56	137.89	142.11	136.89	135.67	135.56	133.78	132.11	127.44	128.56	126.56	125.78	126.89	127.44
128	130.56	128.67	131.11	112.78	139.78	133.56	140.11	138.56	142	136.44	136	135.44	133.89	131.44	128.33	127.78	126.67	125.78	127.11	128
129.11	131.89	128.33	137.44	108.89	134.67	134.89	137.78	139	143.22	136.56	134.11	136	133.78	131.11	128.56	128.56	127.33	124.89	127	129.11
128.56	130.67	128.89	147.11	137.89	137.33	133.56	138	138.33	141.33	137.44	136.11	135.78	134.56	131.44	128.56	129	126.67	126.11	125.22	128.56
128	129.44	127.56	129.11	145.11	136.11	134	139.67	138.22	142.78	137.22	136.22	135.56	134.33	131.78	128.33	128.56	126.33	125.44	125.67	128
128.89	131.89	130	103.44	131.33	136.33	134.44	139.44	139.67	141.22	137.44	136.22	136.11	134.22	130.33	128.67	128	126.33	125.33	126.78	128.89
126.44	130.44	139.22	123.78	132.67	134.78	136	140	139.11	142.33	137.56	135.44	135.56	133.67	131.67	127.22	127.33	127	127.33	127.11	126.44
129.22	131.33	136.33	147.11	132.22	134.56	133.78	140.33	139.22	143	137.89	137	135.56	134	131.33	128.22	128	127.67	126.22	125.11	129.22
129.11	128.11	105.33	135.78	133	134.56	133.11	142.22	139.11	142.44	136.44	137.44	134.78	133.78	132	127.89	127	127.33	126.22	125.44	129.11
129	132.22	105.22	129.33	133.44	137.11	135.44	139.44	137.56	142.11	137.44	135.67	135.78	134.78	130.67	126.89	127	126.67	124.67	125	129
128.56	141.67	125.89	130	133.11	135.11	133.89	140.56	139.22	144	138.44	137.11	135.11	133	131.67	127.44	126.78	126.44	125.22	127.78	128.56
129	142.33	142.33	133.22	133.67	135.78	134.89	140.89	139	143.56	138.22	137.11	135.56	134.11	132.22	127.44	126.78	126.67	125.56	125.44	129
128.11	132	142.33	133.56	133.22	136	136.44	141.67	138.67	143.33	138.67	138	135.44	134.78	131.89	129	126.78	126.67	126.78	127.33	128.11
126.78	111.22	131.78	133.33	132.89	135.11	133.78	140.44	138.44	143.89	138.44	135.78	135.44	133	131.44	127.11	127.11	123.89	125.67	126.22	126.78
