Frame 	X_1 	Y_1 	nX_1 	nY_1 	Disp 	Ori_Disp 	Radius_1 
75.000000	99.964413	92.721639	1.365842	0.769835	0.433246	1.567855	19.979460	
76.000000	99.690487	92.369366	1.091915	0.417562	0.446242	1.169033	20.012253	
77.000000	99.162726	92.285228	0.564155	0.333425	0.534425	0.655319	20.083114	
78.000000	99.059857	92.328803	0.461285	0.376999	0.111718	0.595745	20.041620	
79.000000	98.781147	91.651843	0.182576	-0.299961	0.732089	0.351156	20.056762	
80.000000	98.479719	90.594202	-0.118852	-1.357602	1.099756	1.362795	20.087587	
81.000000	98.420359	89.741263	-0.178213	-2.210541	0.855002	2.217713	20.082691	
82.000000	98.059487	89.807055	-0.539084	-2.144748	0.366820	2.211461	20.076598	
83.000000	97.787877	89.418850	-0.810694	-2.532954	0.473788	2.659526	20.060941	
84.000000	96.930118	88.929250	-1.668453	-3.022554	0.987654	3.452473	20.002828	
85.000000	96.469039	88.232276	-2.129532	-3.719528	0.835684	4.286000	19.984417	
86.000000	96.511584	88.430609	-2.086987	-3.521195	0.202846	4.093205	19.934358	
87.000000	96.004422	89.137079	-2.594150	-2.814725	0.869663	3.827831	19.902365	
88.000000	96.081132	88.763609	-2.517439	-3.188195	0.381267	4.062276	19.861267	
89.000000	96.160661	88.745765	-2.437910	-3.206039	0.081506	4.027665	19.872517	
90.000000	96.591899	88.976146	-2.006672	-2.975657	0.488919	3.589049	19.860099	
91.000000	96.651905	89.385694	-1.946666	-2.566109	0.413921	3.220936	19.887055	
92.000000	96.896095	89.096543	-1.702476	-2.855261	0.378468	3.324296	19.883079	
93.000000	96.188692	89.037327	-2.409879	-2.914477	0.709877	3.781758	19.848277	
94.000000	95.241344	88.799636	-3.357227	-3.152168	0.976711	4.605120	19.744538	
95.000000	94.791985	89.316938	-3.806586	-2.634866	0.685219	4.629538	19.759016	
96.000000	94.608253	89.984259	-3.990319	-1.967545	0.692152	4.449031	19.737047	
97.000000	94.657870	90.507361	-3.940701	-1.444443	0.525450	4.197087	19.759280	
98.000000	94.383866	91.074149	-4.214706	-0.877655	0.629545	4.305116	19.850848	
99.000000	94.390841	91.306068	-4.207730	-0.645736	0.232024	4.256991	19.878424	
100.000000	94.895421	91.829800	-3.703150	-0.122004	0.727252	3.705159	19.873472	
101.000000	95.480823	92.298945	-3.117749	0.347141	0.750195	3.137015	19.967299	
102.000000	95.391422	93.285162	-3.207149	1.333358	0.990261	3.473277	19.956897	
103.000000	95.210556	93.833140	-3.388016	1.881337	0.577055	3.875316	19.994689	
104.000000	95.669626	93.458976	-2.928945	1.507172	0.592237	3.293977	19.964219	
105.000000	95.509235	94.466251	-3.089336	2.514447	1.019965	3.983270	20.032021	
106.000000	95.309294	94.740346	-3.289277	2.788542	0.339270	4.312228	19.968415	
107.000000	94.867885	94.850737	-3.730686	2.898933	0.455004	4.724599	19.899432	
108.000000	94.521134	93.673466	-4.077437	1.721662	1.227275	4.426015	19.871441	
109.000000	94.852735	93.582143	-3.745837	1.630340	0.343946	4.085254	19.892880	
110.000000	94.887870	94.066941	-3.710701	2.115137	0.486069	4.271195	19.844356	
111.000000	95.571253	93.470758	-3.027318	1.518954	0.906888	3.387016	19.846231	
112.000000	95.626413	93.473534	-2.972158	1.521730	0.055229	3.339070	19.848244	
113.000000	95.587287	93.602971	-3.011284	1.651167	0.135221	3.434266	19.864011	
114.000000	95.454991	94.035675	-3.143580	2.083871	0.452477	3.771553	19.923271	
115.000000	96.147647	94.788976	-2.450924	2.837173	1.023345	3.749210	19.865114	
116.000000	95.331893	94.352331	-3.266678	2.400528	0.925264	4.053852	19.930151	
117.000000	95.301229	95.445817	-3.297343	3.494013	1.093915	4.804227	19.912991	
118.000000	96.024949	95.519396	-2.573622	3.567592	0.727451	4.399005	19.869085	
119.000000	96.573810	96.070192	-2.024761	4.118389	0.777577	4.589203	19.829523	
120.000000	96.590453	96.327054	-2.008118	4.375250	0.257400	4.814079	19.810722	
121.000000	96.674749	96.248700	-1.923822	4.296896	0.115088	4.707909	19.788027	
122.000000	96.893305	96.258162	-1.705266	4.306358	0.218761	4.631701	19.738330	
123.000000	96.583208	95.448242	-2.015363	3.496439	0.867255	4.035687	19.811894	
124.000000	97.410921	95.721818	-1.187650	3.770014	0.871753	3.952660	19.716231	
125.000000	97.110897	96.018834	-1.487674	4.067031	0.422176	4.330579	19.721433	
126.000000	96.566217	96.617343	-2.032354	4.665539	0.809252	5.088980	19.709144	
127.000000	96.348448	95.935842	-2.250123	3.984038	0.715449	4.575545	19.775854	
128.000000	96.415069	96.476367	-2.183502	4.524563	0.544615	5.023878	19.693605	
129.000000	96.010003	96.192020	-2.588568	4.240216	0.494906	4.967909	19.734897	
130.000000	95.838988	96.423592	-2.759583	4.471788	0.287875	5.254730	19.727596	
131.000000	95.871858	96.938450	-2.726713	4.986646	0.515906	5.683450	19.747052	
132.000000	95.708758	96.914759	-2.889813	4.962955	0.164812	5.742991	19.718462	
133.000000	96.392501	97.038505	-2.206070	5.086702	0.694851	5.544482	19.751460	
134.000000	96.320895	97.016857	-2.277676	5.065053	0.074807	5.553609	19.767544	
135.000000	96.665765	96.391487	-1.932806	4.439683	0.714158	4.842162	19.829491	
136.000000	96.697250	95.237056	-1.901321	3.285252	1.154861	3.795774	19.881083	
137.000000	97.310896	95.027701	-1.287675	3.075897	0.648375	3.334554	19.818646	
138.000000	97.246516	94.528173	-1.352055	2.576369	0.503659	2.909593	19.787904	
139.000000	96.561740	94.890546	-2.036832	2.938742	0.774747	3.575596	19.742069	
140.000000	97.430028	94.819773	-1.168543	2.867970	0.871168	3.096892	19.747768	
141.000000	97.019793	94.906437	-1.578778	2.954633	0.419289	3.349985	19.727984	
142.000000	96.866608	94.758770	-1.731963	2.806966	0.212770	3.298296	19.755581	
143.000000	96.732957	94.449357	-1.865614	2.497553	0.337045	3.117417	19.721450	
144.000000	97.014352	94.175954	-1.584219	2.224150	0.392343	2.730676	19.745035	
145.000000	96.668286	93.851169	-1.930286	1.899365	0.474602	2.708060	19.709193	
146.000000	96.487560	94.052207	-2.111011	2.100403	0.270329	2.977929	19.706740	
147.000000	96.981913	94.202731	-1.616658	2.250927	0.516761	2.771327	19.801186	
148.000000	96.889176	93.927664	-1.709396	1.975860	0.290279	2.612672	19.815494	
149.000000	96.327969	94.809451	-2.270602	2.857647	1.045227	3.649901	19.816653	
150.000000	96.650982	94.295251	-1.947589	2.343447	0.607238	3.047105	19.847139	
151.000000	96.283482	94.707444	-2.315089	2.755640	0.552232	3.599055	19.809074	
152.000000	96.414907	94.711319	-2.183664	2.759515	0.131482	3.518994	19.795633	
153.000000	97.091701	95.104655	-1.506870	3.152851	0.782792	3.494443	19.755227	
154.000000	97.172658	96.227527	-1.425913	4.275723	1.125786	4.507220	19.704582	
155.000000	96.192138	96.073096	-2.406433	4.121292	0.992607	4.772417	19.690970	
156.000000	96.579618	95.811925	-2.018953	3.860121	0.467281	4.356226	19.658164	
157.000000	96.567603	96.251102	-2.030968	4.299298	0.439342	4.754871	19.671524	
158.000000	97.415707	96.160106	-1.182864	4.208303	0.852972	4.371382	19.696057	
159.000000	97.123933	96.036703	-1.474638	4.084899	0.316797	4.342920	19.609381	
160.000000	97.166904	96.095240	-1.431668	4.143436	0.072616	4.383804	19.646323	
161.000000	97.631338	95.720137	-0.967233	3.768333	0.596994	3.890485	19.646518	
162.000000	97.559856	96.024077	-1.038715	4.072273	0.312233	4.202658	19.646316	
163.000000	97.488455	95.923483	-1.110117	3.971680	0.123358	4.123906	19.649445	
164.000000	97.177027	95.783585	-1.421544	3.831781	0.341407	4.086971	19.635553	
165.000000	97.894610	95.911197	-0.703961	3.959393	0.728841	4.021486	19.681142	
166.000000	98.195580	95.194398	-0.402992	3.242594	0.777421	3.267540	19.647065	
167.000000	98.747466	95.120958	0.148895	3.169154	0.556751	3.172650	19.743904	
168.000000	99.415498	95.570032	0.816927	3.618228	0.804944	3.709305	19.778790	
169.000000	99.749682	95.274866	1.151111	3.323062	0.445872	3.516788	19.772184	
170.000000	99.776686	95.136599	1.178115	3.184795	0.140880	3.395714	19.867173	
171.000000	99.558951	94.833664	0.960379	2.881860	0.373066	3.037671	19.864044	
172.000000	99.364945	94.674939	0.766374	2.723135	0.250662	2.828921	19.867075	
173.000000	99.061503	95.143507	0.462932	3.191704	0.558241	3.225101	19.933115	
174.000000	98.656158	94.979513	0.057587	3.027709	0.437263	3.028257	19.894699	
175.000000	99.034747	95.400432	0.436175	3.448628	0.566128	3.476102	19.945288	
176.000000	99.101333	95.231633	0.502762	3.279829	0.181457	3.318139	19.956612	
177.000000	98.636682	95.367394	0.038111	3.415590	0.484078	3.415803	19.992886	
178.000000	98.849680	94.662230	0.251109	2.710426	0.736631	2.722034	19.954377	
179.000000	98.358047	94.417695	-0.240525	2.465891	0.549091	2.477594	19.962865	
180.000000	98.484073	93.761428	-0.114499	1.809625	0.668258	1.813243	19.989841	
181.000000	99.302782	94.115947	0.704211	2.164143	0.892171	2.275836	20.082324	
182.000000	99.590535	93.038373	0.991964	1.086569	1.115333	1.471267	20.105366	
183.000000	99.744393	92.251699	1.145822	0.299895	0.801579	1.184417	20.132774	
184.000000	99.179811	91.413695	0.581240	-0.538109	1.010447	0.792087	20.156232	
185.000000	99.205733	91.185568	0.607162	-0.766236	0.229595	0.977631	20.200635	
186.000000	99.086562	90.624362	0.487991	-1.327442	0.573719	1.414297	20.191898	
187.000000	98.949180	91.754047	0.350609	-0.197757	1.138008	0.402535	20.045683	
188.000000	99.082819	91.781481	0.484247	-0.170323	0.136425	0.513328	20.035034	
189.000000	98.566195	91.409381	-0.032376	-0.542423	0.636677	0.543388	19.972671	
190.000000	98.035187	91.377297	-0.563384	-0.574507	0.531977	0.804649	19.939462	
191.000000	98.350762	90.849517	-0.247809	-1.102286	0.614930	1.129799	19.941882	
192.000000	98.376327	90.722932	-0.222244	-1.228872	0.129142	1.248807	19.970420	
193.000000	98.160196	90.754486	-0.438376	-1.197318	0.218422	1.275046	19.985504	
194.000000	97.571657	91.343629	-1.026915	-0.608175	0.832747	1.193495	19.967709	
195.000000	97.571404	90.842566	-1.027167	-1.109238	0.501063	1.511781	20.000605	
196.000000	97.322952	90.554308	-1.275619	-1.397496	0.380554	1.892141	20.027891	
197.000000	97.118148	90.638422	-1.480423	-1.313382	0.221404	1.979046	20.003188	
